timestep,throughput_tp,throughput_fair,throughput_minrate,proportional_fair_tp,proportional_fair_fair,proportional_fair_minrate,max_min_tp,max_min_fair,max_min_minrate,jain_tp,jain_fair,jain_minrate,hpf_tp,hpf_fair,hpf_minrate,adaptive_hpf_tp,adaptive_hpf_fair,adaptive_hpf_minrate,weighted_tf_tp,weighted_tf_fair,weighted_tf_minrate,hpf_switch_cost_tp,hpf_switch_cost_fair,hpf_switch_cost_minrate,adaptive_threshold_tp,adaptive_threshold_fair,adaptive_threshold_minrate,channel_predictor_tp,channel_predictor_fair,channel_predictor_minrate
97,399.17,0.9822,40.45,386.98,0.9826,39.38,399.17,0.9822,40.45,386.98,0.9826,39.38,386.98,0.9826,39.38,386.98,0.9826,39.38,386.98,0.9826,39.38,386.98,0.9826,39.38,386.98,0.9826,39.38,399.17,0.9822,40.45
98,401.27,0.9818,40.62,384.49,0.9823,39.12,401.27,0.9818,40.62,384.49,0.9823,39.12,384.49,0.9823,39.12,384.49,0.9823,39.12,384.49,0.9823,39.12,384.49,0.9823,39.12,384.49,0.9823,39.12,401.27,0.9818,40.62
99,401.19,0.9821,40.62,384.21,0.9819,38.81,401.19,0.9821,40.62,384.21,0.9819,38.81,384.21,0.9819,38.81,384.21,0.9819,38.81,384.21,0.9819,38.81,384.21,0.9819,38.81,384.21,0.9819,38.81,401.19,0.9821,40.62
100,403.97,0.9821,40.94,384.83,0.9821,38.89,403.97,0.9821,40.94,384.83,0.9821,38.89,384.83,0.9821,38.89,384.83,0.9821,38.89,384.83,0.9821,38.89,384.83,0.9821,38.89,384.83,0.9821,38.89,403.97,0.9821,40.94
101,406.06,0.9823,41.22,383.84,0.9826,39.23,406.06,0.9823,41.22,383.84,0.9826,39.23,383.84,0.9826,39.23,383.84,0.9826,39.23,383.84,0.9826,39.23,383.84,0.9826,39.23,383.84,0.9826,39.23,406.06,0.9823,41.22
102,405.76,0.9823,41.41,384.8,0.982,39.11,405.76,0.9823,41.41,384.8,0.982,39.11,384.8,0.982,39.11,384.8,0.982,39.11,384.8,0.982,39.11,384.8,0.982,39.11,384.8,0.982,39.11,405.76,0.9823,41.41
103,406.36,0.9821,41.2,383.34,0.9825,39.07,406.36,0.9821,41.2,383.34,0.9825,39.07,383.34,0.9825,39.07,383.34,0.9825,39.07,383.34,0.9825,39.07,383.34,0.9825,39.07,383.34,0.9825,39.07,406.36,0.9821,41.2
104,404.99,0.9824,41.12,385.22,0.9818,38.98,404.99,0.9824,41.12,385.22,0.9818,38.98,385.22,0.9818,38.98,385.22,0.9818,38.98,385.22,0.9818,38.98,385.22,0.9818,38.98,385.22,0.9818,38.98,404.99,0.9824,41.12
105,405.77,0.9819,41.12,384.22,0.9823,39.2,405.77,0.9819,41.12,384.22,0.9823,39.2,384.22,0.9823,39.2,384.22,0.9823,39.2,384.22,0.9823,39.2,384.22,0.9823,39.2,384.22,0.9823,39.2,405.77,0.9819,41.12
106,407.41,0.9821,41.24,383.14,0.9824,38.93,407.41,0.9821,41.24,383.14,0.9824,38.93,383.14,0.9824,38.93,383.14,0.9824,38.93,383.14,0.9824,38.93,383.14,0.9824,38.93,383.14,0.9824,38.93,407.41,0.9821,41.24
107,408.64,0.982,41.53,382.5,0.982,38.75,408.64,0.982,41.53,382.5,0.982,38.75,382.5,0.982,38.75,382.5,0.982,38.75,382.5,0.982,38.75,382.5,0.982,38.75,382.5,0.982,38.75,408.64,0.982,41.53
108,406.96,0.9826,41.35,382.08,0.9824,38.78,406.96,0.9826,41.35,382.08,0.9824,38.78,382.08,0.9824,38.78,382.08,0.9824,38.78,382.08,0.9824,38.78,382.08,0.9824,38.78,382.08,0.9824,38.78,406.96,0.9826,41.35
109,405.56,0.9823,41.19,382.98,0.982,38.79,405.56,0.9823,41.19,382.98,0.982,38.79,382.98,0.982,38.79,382.98,0.982,38.79,382.98,0.982,38.79,382.98,0.982,38.79,382.98,0.982,38.79,405.56,0.9823,41.19
110,404.44,0.9824,41.09,383.61,0.9821,38.86,404.44,0.9824,41.09,383.61,0.9821,38.86,383.61,0.9821,38.86,383.61,0.9821,38.86,383.61,0.9821,38.86,383.61,0.9821,38.86,383.61,0.9821,38.86,404.44,0.9824,41.09
111,406.34,0.9822,41.19,382.4,0.9826,38.9,406.34,0.9822,41.19,382.4,0.9826,38.9,382.4,0.9826,38.9,382.4,0.9826,38.9,382.4,0.9826,38.9,382.4,0.9826,38.9,382.4,0.9826,38.9,406.34,0.9822,41.19
112,406.92,0.9824,41.39,387.62,0.9815,39.23,406.92,0.9824,41.39,387.62,0.9815,39.23,387.62,0.9815,39.23,387.62,0.9815,39.23,387.62,0.9815,39.23,387.62,0.9815,39.23,387.62,0.9815,39.23,406.92,0.9824,41.39
113,407.72,0.9821,41.3,388.51,0.9822,39.45,407.72,0.9821,41.3,388.51,0.9822,39.45,388.51,0.9822,39.45,388.51,0.9822,39.45,388.51,0.9822,39.45,388.51,0.9822,39.45,388.51,0.9822,39.45,407.72,0.9821,41.3
114,406.5,0.9825,41.33,387.0,0.9825,39.43,406.5,0.9825,41.33,387.0,0.9825,39.43,387.0,0.9825,39.43,387.0,0.9825,39.43,387.0,0.9825,39.43,387.0,0.9825,39.43,387.0,0.9825,39.43,406.5,0.9825,41.33
115,404.89,0.9824,41.16,384.85,0.9822,39.09,404.89,0.9824,41.16,384.85,0.9822,39.09,384.85,0.9822,39.09,384.85,0.9822,39.09,384.85,0.9822,39.09,384.85,0.9822,39.09,384.85,0.9822,39.09,404.89,0.9824,41.16
116,404.27,0.9823,41.09,384.65,0.982,38.93,404.27,0.9823,41.09,384.65,0.982,38.93,384.65,0.982,38.93,384.65,0.982,38.93,384.65,0.982,38.93,384.65,0.982,38.93,384.65,0.982,38.93,404.27,0.9823,41.09
117,404.21,0.982,41.01,383.35,0.9825,38.84,404.21,0.982,41.01,383.35,0.9825,38.84,383.35,0.9825,38.84,383.35,0.9825,38.84,383.35,0.9825,38.84,383.35,0.9825,38.84,383.35,0.9825,38.84,404.21,0.982,41.01
118,404.38,0.9822,40.96,384.71,0.982,39.04,404.38,0.9822,40.96,384.71,0.982,39.04,384.71,0.982,39.04,384.71,0.982,39.04,384.71,0.982,39.04,384.71,0.982,39.04,384.71,0.982,39.04,404.38,0.9822,40.96
119,406.08,0.9823,41.23,387.32,0.9821,39.4,406.08,0.9823,41.23,387.32,0.9821,39.4,387.32,0.9821,39.4,387.32,0.9821,39.4,387.32,0.9821,39.4,387.32,0.9821,39.4,387.32,0.9821,39.4,406.08,0.9823,41.23
120,408.26,0.9819,41.39,389.82,0.982,39.53,408.26,0.9819,41.39,389.82,0.982,39.53,389.82,0.982,39.53,389.82,0.982,39.53,389.82,0.982,39.53,389.82,0.982,39.53,389.82,0.982,39.53,408.26,0.9819,41.39
121,405.8,0.9828,41.43,385.66,0.9827,39.43,405.8,0.9828,41.43,385.66,0.9827,39.43,385.66,0.9827,39.43,385.66,0.9827,39.43,385.66,0.9827,39.43,385.66,0.9827,39.43,385.66,0.9827,39.43,405.8,0.9828,41.43
122,406.68,0.982,41.27,383.75,0.9824,39.0,406.68,0.982,41.27,383.75,0.9824,39.0,383.75,0.9824,39.0,383.75,0.9824,39.0,383.75,0.9824,39.0,383.75,0.9824,39.0,383.75,0.9824,39.0,406.68,0.982,41.27
123,403.84,0.9825,41.2,381.08,0.9824,38.73,403.84,0.9825,41.2,381.08,0.9824,38.73,381.08,0.9824,38.73,381.08,0.9824,38.73,381.08,0.9824,38.73,381.08,0.9824,38.73,381.08,0.9824,38.73,403.84,0.9825,41.2
124,401.72,0.9823,40.83,380.75,0.9819,38.49,401.72,0.9823,40.83,380.75,0.9819,38.49,380.75,0.9819,38.49,380.75,0.9819,38.49,380.75,0.9819,38.49,380.75,0.9819,38.49,380.75,0.9819,38.49,401.72,0.9823,40.83
125,401.06,0.9822,40.73,382.23,0.9821,38.74,401.06,0.9822,40.73,382.23,0.9821,38.74,382.23,0.9821,38.74,382.23,0.9821,38.74,382.23,0.9821,38.74,382.23,0.9821,38.74,382.23,0.9821,38.74,401.06,0.9822,40.73
126,403.54,0.982,40.99,381.86,0.9821,38.75,403.54,0.982,40.99,381.86,0.9821,38.75,381.86,0.9821,38.75,381.86,0.9821,38.75,381.86,0.9821,38.75,381.86,0.9821,38.75,381.86,0.9821,38.75,403.54,0.982,40.99
127,402.47,0.9823,40.88,380.66,0.9824,38.77,402.47,0.9823,40.88,380.66,0.9824,38.77,380.66,0.9824,38.77,380.66,0.9824,38.77,380.66,0.9824,38.77,380.66,0.9824,38.77,380.66,0.9824,38.77,402.47,0.9823,40.88
128,404.23,0.9819,40.89,384.09,0.9817,38.94,404.23,0.9819,40.89,384.09,0.9817,38.94,384.09,0.9817,38.94,384.09,0.9817,38.94,384.09,0.9817,38.94,384.09,0.9817,38.94,384.09,0.9817,38.94,404.23,0.9819,40.89
129,404.63,0.9825,41.1,384.79,0.9822,39.01,404.63,0.9825,41.1,384.79,0.9822,39.01,384.79,0.9822,39.01,384.79,0.9822,39.01,384.79,0.9822,39.01,384.79,0.9822,39.01,384.79,0.9822,39.01,404.63,0.9825,41.1
130,407.81,0.9819,41.35,384.49,0.9824,39.05,407.81,0.9819,41.35,384.49,0.9824,39.05,384.49,0.9824,39.05,384.49,0.9824,39.05,384.49,0.9824,39.05,384.49,0.9824,39.05,384.49,0.9824,39.05,407.81,0.9819,41.35
131,409.18,0.982,41.48,384.37,0.9822,39.01,409.18,0.982,41.48,384.37,0.9822,39.01,384.37,0.9822,39.01,384.37,0.9822,39.01,384.37,0.9822,39.01,384.37,0.9822,39.01,384.37,0.9822,39.01,409.18,0.982,41.48
132,408.55,0.9824,41.56,384.36,0.9823,38.9,408.55,0.9824,41.56,384.36,0.9823,38.9,384.36,0.9823,38.9,384.36,0.9823,38.9,384.36,0.9823,38.9,384.36,0.9823,38.9,384.36,0.9823,38.9,408.55,0.9824,41.56
133,408.26,0.9821,41.46,387.58,0.982,39.29,408.26,0.9821,41.46,387.58,0.982,39.29,387.58,0.982,39.29,387.58,0.982,39.29,387.58,0.982,39.29,387.58,0.982,39.29,387.58,0.982,39.29,408.26,0.9821,41.46
134,408.19,0.9823,41.42,388.63,0.9822,39.56,408.19,0.9823,41.42,388.63,0.9822,39.56,388.63,0.9822,39.56,388.63,0.9822,39.56,388.63,0.9822,39.56,388.63,0.9822,39.56,388.63,0.9822,39.56,408.19,0.9823,41.42
135,407.64,0.9821,41.49,387.16,0.9822,39.2,407.64,0.9821,41.49,387.16,0.9822,39.2,387.16,0.9822,39.2,387.16,0.9822,39.2,387.16,0.9822,39.2,387.16,0.9822,39.2,387.16,0.9822,39.2,407.64,0.9821,41.49
136,407.81,0.9823,41.49,388.3,0.982,39.2,407.81,0.9823,41.49,388.3,0.982,39.2,388.3,0.982,39.2,388.3,0.982,39.2,388.3,0.982,39.2,388.3,0.982,39.2,388.3,0.982,39.2,407.81,0.9823,41.49
137,405.64,0.9825,41.24,387.29,0.9824,39.4,405.64,0.9825,41.24,387.29,0.9824,39.4,387.29,0.9824,39.4,387.29,0.9824,39.4,387.29,0.9824,39.4,387.29,0.9824,39.4,387.29,0.9824,39.4,405.64,0.9825,41.24
138,406.03,0.9822,41.17,385.91,0.9826,39.27,406.03,0.9822,41.17,385.91,0.9826,39.27,385.91,0.9826,39.27,385.91,0.9826,39.27,385.91,0.9826,39.27,385.91,0.9826,39.27,385.91,0.9826,39.27,406.03,0.9822,41.17
139,405.92,0.9822,41.26,380.73,0.9826,38.77,405.92,0.9822,41.26,380.73,0.9826,38.77,380.73,0.9826,38.77,380.73,0.9826,38.77,380.73,0.9826,38.77,380.73,0.9826,38.77,380.73,0.9826,38.77,405.92,0.9822,41.26
140,402.69,0.9827,41.03,382.75,0.9818,38.72,402.69,0.9827,41.03,382.75,0.9818,38.72,382.75,0.9818,38.72,382.75,0.9818,38.72,382.75,0.9818,38.72,382.75,0.9818,38.72,382.75,0.9818,38.72,402.69,0.9827,41.03
141,400.94,0.9821,40.61,383.44,0.9825,39.06,400.94,0.9821,40.61,383.44,0.9825,39.06,383.44,0.9825,39.06,383.44,0.9825,39.06,383.44,0.9825,39.06,383.44,0.9825,39.06,383.44,0.9825,39.06,400.94,0.9821,40.61
142,403.1,0.9819,40.83,381.4,0.9826,38.93,403.1,0.9819,40.83,381.4,0.9826,38.93,381.4,0.9826,38.93,381.4,0.9826,38.93,381.4,0.9826,38.93,381.4,0.9826,38.93,381.4,0.9826,38.93,403.1,0.9819,40.83
143,403.81,0.9823,41.03,381.97,0.9821,38.89,403.81,0.9823,41.03,381.97,0.9821,38.89,381.97,0.9821,38.89,381.97,0.9821,38.89,381.97,0.9821,38.89,381.97,0.9821,38.89,381.97,0.9821,38.89,403.81,0.9823,41.03
144,404.96,0.9821,41.07,384.65,0.9819,38.98,404.96,0.9821,41.07,384.65,0.9819,38.98,384.65,0.9819,38.98,384.65,0.9819,38.98,384.65,0.9819,38.98,384.65,0.9819,38.98,384.65,0.9819,38.98,404.96,0.9821,41.07
145,406.41,0.9821,41.18,389.67,0.9816,39.5,406.41,0.9821,41.18,389.67,0.9816,39.5,389.67,0.9816,39.5,389.67,0.9816,39.5,389.67,0.9816,39.5,389.67,0.9816,39.5,389.67,0.9816,39.5,406.41,0.9821,41.18
146,403.79,0.9826,41.15,390.1,0.9824,39.6,403.79,0.9826,41.15,390.1,0.9824,39.6,390.1,0.9824,39.6,390.1,0.9824,39.6,390.1,0.9824,39.6,390.1,0.9824,39.6,390.1,0.9824,39.6,403.79,0.9826,41.15
147,403.91,0.9821,41.09,391.12,0.982,39.67,403.91,0.9821,41.09,391.12,0.982,39.67,391.12,0.982,39.67,391.12,0.982,39.67,391.12,0.982,39.67,391.12,0.982,39.67,391.12,0.982,39.67,403.91,0.9821,41.09
148,405.1,0.9821,41.08,390.1,0.9826,39.72,405.1,0.9821,41.08,390.1,0.9826,39.72,390.1,0.9826,39.72,390.1,0.9826,39.72,390.1,0.9826,39.72,390.1,0.9826,39.72,390.1,0.9826,39.72,405.1,0.9821,41.08
149,405.41,0.9822,41.22,391.77,0.9814,39.48,405.41,0.9822,41.22,391.77,0.9814,39.48,391.77,0.9814,39.48,391.77,0.9814,39.48,391.77,0.9814,39.48,391.77,0.9814,39.48,391.77,0.9814,39.48,405.41,0.9822,41.22
150,406.85,0.9822,41.34,387.9,0.9827,39.4,406.85,0.9822,41.34,387.9,0.9827,39.4,387.9,0.9827,39.4,387.9,0.9827,39.4,387.9,0.9827,39.4,387.9,0.9827,39.4,387.9,0.9827,39.4,406.85,0.9822,41.34
151,406.8,0.9822,41.24,388.25,0.9823,39.61,406.8,0.9822,41.24,388.25,0.9823,39.61,388.25,0.9823,39.61,388.25,0.9823,39.61,388.25,0.9823,39.61,388.25,0.9823,39.61,388.25,0.9823,39.61,406.8,0.9822,41.24
152,404.43,0.9827,41.22,389.37,0.9824,39.63,404.43,0.9827,41.22,389.37,0.9824,39.63,389.37,0.9824,39.63,389.37,0.9824,39.63,389.37,0.9824,39.63,389.37,0.9824,39.63,389.37,0.9824,39.63,404.43,0.9827,41.22
153,405.43,0.9819,41.01,386.24,0.9826,39.3,405.43,0.9819,41.01,386.24,0.9826,39.3,386.24,0.9826,39.3,386.24,0.9826,39.3,386.24,0.9826,39.3,386.24,0.9826,39.3,386.24,0.9826,39.3,405.43,0.9819,41.01
154,405.26,0.9821,41.1,381.36,0.9826,38.62,405.26,0.9821,41.1,381.36,0.9826,38.62,381.36,0.9826,38.62,381.36,0.9826,38.62,381.36,0.9826,38.62,381.36,0.9826,38.62,381.36,0.9826,38.62,405.26,0.9821,41.1
155,407.0,0.9821,41.32,382.37,0.9817,38.73,407.0,0.9821,41.32,382.37,0.9817,38.73,382.37,0.9817,38.73,382.37,0.9817,38.73,382.37,0.9817,38.73,382.37,0.9817,38.73,382.37,0.9817,38.73,407.0,0.9821,41.32
156,408.28,0.982,41.48,379.2,0.9823,38.58,408.28,0.982,41.48,379.2,0.9823,38.58,379.2,0.9823,38.58,379.2,0.9823,38.58,379.2,0.9823,38.58,379.2,0.9823,38.58,379.2,0.9823,38.58,408.28,0.982,41.48
157,406.69,0.9824,41.48,382.27,0.9819,38.59,406.69,0.9824,41.48,382.27,0.9819,38.59,382.27,0.9819,38.59,382.27,0.9819,38.59,382.27,0.9819,38.59,382.27,0.9819,38.59,382.27,0.9819,38.59,406.69,0.9824,41.48
158,408.25,0.9822,41.43,381.49,0.9822,38.68,408.25,0.9822,41.43,381.49,0.9822,38.68,381.49,0.9822,38.68,381.49,0.9822,38.68,381.49,0.9822,38.68,381.49,0.9822,38.68,381.49,0.9822,38.68,408.25,0.9822,41.43
159,409.88,0.9822,41.65,382.71,0.9819,38.91,409.88,0.9822,41.65,382.71,0.9819,38.91,382.71,0.9819,38.91,382.71,0.9819,38.91,382.71,0.9819,38.91,382.71,0.9819,38.91,382.71,0.9819,38.91,409.88,0.9822,41.65
160,410.67,0.9822,41.68,383.76,0.9823,39.06,410.67,0.9822,41.68,383.76,0.9823,39.06,383.76,0.9823,39.06,383.76,0.9823,39.06,383.76,0.9823,39.06,383.76,0.9823,39.06,383.76,0.9823,39.06,410.67,0.9822,41.68
161,410.77,0.9822,41.68,381.74,0.9828,38.95,410.77,0.9822,41.68,381.74,0.9828,38.95,381.74,0.9828,38.95,381.74,0.9828,38.95,381.74,0.9828,38.95,381.74,0.9828,38.95,381.74,0.9828,38.95,410.77,0.9822,41.68
162,411.56,0.982,41.78,384.05,0.9818,38.76,411.56,0.982,41.78,384.05,0.9818,38.76,384.05,0.9818,38.76,384.05,0.9818,38.76,384.05,0.9818,38.76,384.05,0.9818,38.76,384.05,0.9818,38.76,411.56,0.982,41.78
163,412.95,0.982,42.0,382.25,0.9827,38.87,412.95,0.982,42.0,382.25,0.9827,38.87,382.25,0.9827,38.87,382.25,0.9827,38.87,382.25,0.9827,38.87,382.25,0.9827,38.87,382.25,0.9827,38.87,412.95,0.982,42.0
164,410.94,0.9824,41.71,378.31,0.9826,38.51,410.94,0.9824,41.71,378.31,0.9826,38.51,378.31,0.9826,38.51,378.31,0.9826,38.51,378.31,0.9826,38.51,378.31,0.9826,38.51,378.31,0.9826,38.51,410.94,0.9824,41.71
165,411.52,0.9822,41.81,381.28,0.9817,38.56,411.52,0.9822,41.81,381.28,0.9817,38.56,381.28,0.9817,38.56,381.28,0.9817,38.56,381.28,0.9817,38.56,381.28,0.9817,38.56,381.28,0.9817,38.56,411.52,0.9822,41.81
166,410.22,0.9823,41.69,382.2,0.9824,38.9,410.22,0.9823,41.69,382.2,0.9824,38.9,382.2,0.9824,38.9,382.2,0.9824,38.9,382.2,0.9824,38.9,382.2,0.9824,38.9,382.2,0.9824,38.9,410.22,0.9823,41.69
167,408.13,0.9825,41.57,382.26,0.9819,38.66,408.13,0.9825,41.57,382.26,0.9819,38.66,382.26,0.9819,38.66,382.26,0.9819,38.66,382.26,0.9819,38.66,382.26,0.9819,38.66,382.26,0.9819,38.66,408.13,0.9825,41.57
168,406.83,0.9823,41.34,384.37,0.9821,39.04,406.83,0.9823,41.34,384.37,0.9821,39.04,384.37,0.9821,39.04,384.37,0.9821,39.04,384.37,0.9821,39.04,384.37,0.9821,39.04,384.37,0.9821,39.04,406.83,0.9823,41.34
169,405.19,0.9825,41.21,386.4,0.9822,39.28,405.19,0.9825,41.21,386.4,0.9822,39.28,386.4,0.9822,39.28,386.4,0.9822,39.28,386.4,0.9822,39.28,386.4,0.9822,39.28,386.4,0.9822,39.28,405.19,0.9825,41.21
170,406.16,0.9822,41.19,386.56,0.9817,39.28,406.16,0.9822,41.19,386.56,0.9817,39.28,386.56,0.9817,39.28,386.56,0.9817,39.28,386.56,0.9817,39.28,386.56,0.9817,39.28,386.56,0.9817,39.28,406.16,0.9822,41.19
171,406.88,0.9821,41.35,390.39,0.9817,39.56,406.88,0.9821,41.35,390.39,0.9817,39.56,390.39,0.9817,39.56,390.39,0.9817,39.56,390.39,0.9817,39.56,390.39,0.9817,39.56,390.39,0.9817,39.56,406.88,0.9821,41.35
172,406.1,0.9824,41.32,393.95,0.982,39.9,406.1,0.9824,41.32,393.95,0.982,39.9,393.95,0.982,39.9,393.95,0.982,39.9,393.95,0.982,39.9,393.95,0.982,39.9,393.95,0.982,39.9,406.1,0.9824,41.32
173,403.41,0.9822,40.86,395.91,0.9824,40.29,403.41,0.9822,40.86,395.91,0.9824,40.29,395.91,0.9824,40.29,395.91,0.9824,40.29,395.91,0.9824,40.29,395.91,0.9824,40.29,395.91,0.9824,40.29,403.41,0.9822,40.86
174,404.88,0.9822,41.1,395.33,0.9823,40.15,404.88,0.9822,41.1,395.33,0.9823,40.15,395.33,0.9823,40.15,395.33,0.9823,40.15,395.33,0.9823,40.15,395.33,0.9823,40.15,395.33,0.9823,40.15,404.88,0.9822,41.1
175,405.64,0.9821,41.13,392.47,0.9824,39.83,405.64,0.9821,41.13,392.47,0.9824,39.83,392.47,0.9824,39.83,392.47,0.9824,39.83,392.47,0.9824,39.83,392.47,0.9824,39.83,392.47,0.9824,39.83,405.64,0.9821,41.13
176,406.78,0.9822,41.33,392.02,0.9827,39.88,406.78,0.9822,41.33,392.02,0.9827,39.88,392.02,0.9827,39.88,392.02,0.9827,39.88,392.02,0.9827,39.88,392.02,0.9827,39.88,392.02,0.9827,39.88,406.78,0.9822,41.33
177,405.09,0.9826,41.28,389.87,0.9827,39.69,405.09,0.9826,41.28,389.87,0.9827,39.69,389.87,0.9827,39.69,389.87,0.9827,39.69,389.87,0.9827,39.69,389.87,0.9827,39.69,389.87,0.9827,39.69,405.09,0.9826,41.28
178,405.4,0.9818,41.09,387.08,0.9821,39.14,405.4,0.9818,41.09,387.08,0.9821,39.14,387.08,0.9821,39.14,387.08,0.9821,39.14,387.08,0.9821,39.14,387.08,0.9821,39.14,387.08,0.9821,39.14,405.4,0.9818,41.09
179,405.0,0.9823,41.14,387.04,0.9818,39.32,405.0,0.9823,41.14,387.04,0.9818,39.32,387.04,0.9818,39.32,387.04,0.9818,39.32,387.04,0.9818,39.32,387.04,0.9818,39.32,387.04,0.9818,39.32,405.0,0.9823,41.14
180,406.44,0.9822,41.37,385.29,0.9823,39.28,406.44,0.9822,41.37,385.29,0.9823,39.28,385.29,0.9823,39.28,385.29,0.9823,39.28,385.29,0.9823,39.28,385.29,0.9823,39.28,385.29,0.9823,39.28,406.44,0.9822,41.37
181,405.17,0.9824,41.18,383.38,0.9821,38.8,405.17,0.9824,41.18,383.38,0.9821,38.8,383.38,0.9821,38.8,383.38,0.9821,38.8,383.38,0.9821,38.8,383.38,0.9821,38.8,383.38,0.9821,38.8,405.17,0.9824,41.18
182,404.84,0.982,41.11,384.77,0.982,39.24,404.84,0.982,41.11,384.77,0.982,39.24,384.77,0.982,39.24,384.77,0.982,39.24,384.77,0.982,39.24,384.77,0.982,39.24,384.77,0.982,39.24,404.84,0.982,41.11
183,404.24,0.9824,41.21,387.35,0.982,39.31,404.24,0.9824,41.21,387.35,0.982,39.31,387.35,0.982,39.31,387.35,0.982,39.31,387.35,0.982,39.31,387.35,0.982,39.31,387.35,0.982,39.31,404.24,0.9824,41.21
184,405.48,0.982,41.04,388.76,0.9825,39.49,405.48,0.982,41.04,388.76,0.9825,39.49,388.76,0.9825,39.49,388.76,0.9825,39.49,388.76,0.9825,39.49,388.76,0.9825,39.49,388.76,0.9825,39.49,405.48,0.982,41.04
185,405.87,0.9822,41.19,389.16,0.9823,39.42,405.87,0.9822,41.19,389.16,0.9823,39.42,389.16,0.9823,39.42,389.16,0.9823,39.42,389.16,0.9823,39.42,389.16,0.9823,39.42,389.16,0.9823,39.42,405.87,0.9822,41.19
186,405.17,0.9823,41.18,388.63,0.9824,39.55,405.17,0.9823,41.18,388.63,0.9824,39.55,388.63,0.9824,39.55,388.63,0.9824,39.55,388.63,0.9824,39.55,388.63,0.9824,39.55,388.63,0.9824,39.55,405.17,0.9823,41.18
187,402.17,0.9824,40.82,385.23,0.9827,39.26,402.17,0.9824,40.82,385.23,0.9827,39.26,385.23,0.9827,39.26,385.23,0.9827,39.26,385.23,0.9827,39.26,385.23,0.9827,39.26,385.23,0.9827,39.26,402.17,0.9824,40.82
188,400.9,0.9823,40.76,384.05,0.9822,38.87,400.9,0.9823,40.76,384.05,0.9822,38.87,384.05,0.9822,38.87,384.05,0.9822,38.87,384.05,0.9822,38.87,384.05,0.9822,38.87,384.05,0.9822,38.87,400.9,0.9823,40.76
189,402.01,0.9823,40.89,381.87,0.9823,38.87,402.01,0.9823,40.89,381.87,0.9823,38.87,381.87,0.9823,38.87,381.87,0.9823,38.87,381.87,0.9823,38.87,381.87,0.9823,38.87,381.87,0.9823,38.87,402.01,0.9823,40.89
190,404.18,0.9821,41.0,378.96,0.9824,38.56,404.18,0.9821,41.0,378.96,0.9824,38.56,378.96,0.9824,38.56,378.96,0.9824,38.56,378.96,0.9824,38.56,378.96,0.9824,38.56,378.96,0.9824,38.56,404.18,0.9821,41.0
191,405.33,0.9821,41.24,375.61,0.9824,38.25,405.33,0.9821,41.24,375.61,0.9824,38.25,375.61,0.9824,38.25,375.61,0.9824,38.25,375.61,0.9824,38.25,375.61,0.9824,38.25,375.61,0.9824,38.25,405.33,0.9821,41.24
192,409.42,0.9818,41.42,375.43,0.9821,38.02,409.42,0.9818,41.42,375.43,0.9821,38.02,375.43,0.9821,38.02,375.43,0.9821,38.02,375.43,0.9821,38.02,375.43,0.9821,38.02,375.43,0.9821,38.02,409.42,0.9818,41.42
193,409.72,0.9823,41.6,379.32,0.982,38.38,409.72,0.9823,41.6,379.32,0.982,38.38,379.32,0.982,38.38,379.32,0.982,38.38,379.32,0.982,38.38,379.32,0.982,38.38,379.32,0.982,38.38,409.72,0.9823,41.6
194,409.44,0.9821,41.55,379.34,0.9823,38.54,409.44,0.9821,41.55,379.34,0.9823,38.54,379.34,0.9823,38.54,379.34,0.9823,38.54,379.34,0.9823,38.54,379.34,0.9823,38.54,379.34,0.9823,38.54,409.44,0.9821,41.55
195,409.24,0.9822,41.55,378.45,0.982,38.45,409.24,0.9822,41.55,378.45,0.982,38.45,378.45,0.982,38.45,378.45,0.982,38.45,378.45,0.982,38.45,378.45,0.982,38.45,378.45,0.982,38.45,409.24,0.9822,41.55
196,409.09,0.9823,41.64,378.71,0.9824,38.31,409.09,0.9823,41.64,378.71,0.9824,38.31,378.71,0.9824,38.31,378.71,0.9824,38.31,378.71,0.9824,38.31,378.71,0.9824,38.31,378.71,0.9824,38.31,409.09,0.9823,41.64
197,408.13,0.9823,41.38,382.28,0.9816,38.76,408.13,0.9823,41.38,382.28,0.9816,38.76,382.28,0.9816,38.76,382.28,0.9816,38.76,382.28,0.9816,38.76,382.28,0.9816,38.76,382.28,0.9816,38.76,408.13,0.9823,41.38
198,408.3,0.9821,41.32,386.35,0.9822,39.22,408.3,0.9821,41.32,386.35,0.9822,39.22,386.35,0.9822,39.22,386.35,0.9822,39.22,386.35,0.9822,39.22,386.35,0.9822,39.22,386.35,0.9822,39.22,408.3,0.9821,41.32
199,406.77,0.9823,41.37,382.65,0.9826,39.08,406.77,0.9823,41.37,382.65,0.9826,39.08,382.65,0.9826,39.08,382.65,0.9826,39.08,382.65,0.9826,39.08,382.65,0.9826,39.08,382.65,0.9826,39.08,406.77,0.9823,41.37
