timestep,throughput_tp,throughput_fair,throughput_minrate,proportional_fair_tp,proportional_fair_fair,proportional_fair_minrate,max_min_tp,max_min_fair,max_min_minrate,jain_tp,jain_fair,jain_minrate,hpf_tp,hpf_fair,hpf_minrate,adaptive_hpf_tp,adaptive_hpf_fair,adaptive_hpf_minrate,weighted_tf_tp,weighted_tf_fair,weighted_tf_minrate,hpf_switch_cost_tp,hpf_switch_cost_fair,hpf_switch_cost_minrate,adaptive_threshold_tp,adaptive_threshold_fair,adaptive_threshold_minrate,channel_predictor_tp,channel_predictor_fair,channel_predictor_minrate
22,407.86,0.9826,41.52,381.19,0.9825,38.76,407.86,0.9826,41.52,381.19,0.9825,38.76,381.19,0.9825,38.76,381.19,0.9825,38.76,381.19,0.9825,38.76,381.19,0.9825,38.76,381.19,0.9825,38.76,407.86,0.9826,41.52
23,401.69,0.9827,40.95,384.59,0.9817,38.97,401.69,0.9827,40.95,384.59,0.9817,38.97,384.59,0.9817,38.97,384.59,0.9817,38.97,384.59,0.9817,38.97,384.59,0.9817,38.97,384.59,0.9817,38.97,401.69,0.9827,40.95
24,398.44,0.9824,40.59,384.86,0.9821,39.07,398.44,0.9824,40.59,384.86,0.9821,39.07,384.86,0.9821,39.07,384.86,0.9821,39.07,384.86,0.9821,39.07,384.86,0.9821,39.07,384.86,0.9821,39.07,398.44,0.9824,40.59
25,397.87,0.9823,40.36,386.91,0.982,39.25,397.87,0.9823,40.36,386.91,0.982,39.25,386.91,0.982,39.25,386.91,0.982,39.25,386.91,0.982,39.25,386.91,0.982,39.25,386.91,0.982,39.25,397.87,0.9823,40.36
26,398.92,0.982,40.39,386.79,0.9825,39.46,398.92,0.982,40.39,386.79,0.9825,39.46,386.79,0.9825,39.46,386.79,0.9825,39.46,386.79,0.9825,39.46,386.79,0.9825,39.46,386.79,0.9825,39.46,398.92,0.982,40.39
27,401.14,0.9821,40.67,383.14,0.9826,38.95,401.14,0.9821,40.67,383.14,0.9826,38.95,383.14,0.9826,38.95,383.14,0.9826,38.95,383.14,0.9826,38.95,383.14,0.9826,38.95,383.14,0.9826,38.95,401.14,0.9821,40.67
28,403.2,0.9823,40.84,382.52,0.9822,38.86,403.2,0.9823,40.84,382.52,0.9822,38.86,382.52,0.9822,38.86,382.52,0.9822,38.86,382.52,0.9822,38.86,382.52,0.9822,38.86,382.52,0.9822,38.86,403.2,0.9823,40.84
29,401.01,0.9824,40.7,380.32,0.9822,38.48,401.01,0.9824,40.7,380.32,0.9822,38.48,380.32,0.9822,38.48,380.32,0.9822,38.48,380.32,0.9822,38.48,380.32,0.9822,38.48,380.32,0.9822,38.48,401.01,0.9824,40.7
30,401.76,0.9822,40.81,378.72,0.9827,38.53,401.76,0.9822,40.81,378.72,0.9827,38.53,378.72,0.9827,38.53,378.72,0.9827,38.53,378.72,0.9827,38.53,378.72,0.9827,38.53,378.72,0.9827,38.53,401.76,0.9822,40.81
31,401.34,0.9824,40.72,375.98,0.9825,38.15,401.34,0.9824,40.72,375.98,0.9825,38.15,375.98,0.9825,38.15,375.98,0.9825,38.15,375.98,0.9825,38.15,375.98,0.9825,38.15,375.98,0.9825,38.15,401.34,0.9824,40.72
32,402.26,0.982,40.84,375.17,0.9818,37.98,402.26,0.982,40.84,375.17,0.9818,37.98,375.17,0.9818,37.98,375.17,0.9818,37.98,375.17,0.9818,37.98,375.17,0.9818,37.98,375.17,0.9818,37.98,402.26,0.982,40.84
33,402.43,0.9822,40.89,378.48,0.9819,38.44,402.43,0.9822,40.89,378.48,0.9819,38.44,378.48,0.9819,38.44,378.48,0.9819,38.44,378.48,0.9819,38.44,378.48,0.9819,38.44,378.48,0.9819,38.44,402.43,0.9822,40.89
34,400.88,0.9825,40.75,379.39,0.9826,38.54,400.88,0.9825,40.75,379.39,0.9826,38.54,379.39,0.9826,38.54,379.39,0.9826,38.54,379.39,0.9826,38.54,379.39,0.9826,38.54,379.39,0.9826,38.54,400.88,0.9825,40.75
35,403.95,0.982,41.08,382.21,0.9818,38.57,403.95,0.982,41.08,382.21,0.9818,38.57,382.21,0.9818,38.57,382.21,0.9818,38.57,382.21,0.9818,38.57,382.21,0.9818,38.57,382.21,0.9818,38.57,403.95,0.982,41.08
36,405.3,0.982,41.13,381.08,0.9824,38.9,405.3,0.982,41.13,381.08,0.9824,38.9,381.08,0.9824,38.9,381.08,0.9824,38.9,381.08,0.9824,38.9,381.08,0.9824,38.9,381.08,0.9824,38.9,405.3,0.982,41.13
37,405.88,0.9822,41.16,380.89,0.9824,38.79,405.88,0.9822,41.16,380.89,0.9824,38.79,380.89,0.9824,38.79,380.89,0.9824,38.79,380.89,0.9824,38.79,380.89,0.9824,38.79,380.89,0.9824,38.79,405.88,0.9822,41.16
38,406.72,0.982,41.28,380.83,0.9821,38.61,406.72,0.982,41.28,380.83,0.9821,38.61,380.83,0.9821,38.61,380.83,0.9821,38.61,380.83,0.9821,38.61,380.83,0.9821,38.61,380.83,0.9821,38.61,406.72,0.982,41.28
39,408.29,0.9821,41.51,380.76,0.9824,38.87,408.29,0.9821,41.51,380.76,0.9824,38.87,380.76,0.9824,38.87,380.76,0.9824,38.87,380.76,0.9824,38.87,380.76,0.9824,38.87,380.76,0.9824,38.87,408.29,0.9821,41.51
40,403.22,0.983,41.15,379.74,0.9822,38.56,403.22,0.983,41.15,379.74,0.9822,38.56,379.74,0.9822,38.56,379.74,0.9822,38.56,379.74,0.9822,38.56,379.74,0.9822,38.56,379.74,0.9822,38.56,403.22,0.983,41.15
41,403.31,0.9821,40.94,379.11,0.9824,38.47,403.31,0.9821,40.94,379.11,0.9824,38.47,379.11,0.9824,38.47,379.11,0.9824,38.47,379.11,0.9824,38.47,379.11,0.9824,38.47,379.11,0.9824,38.47,403.31,0.9821,40.94
42,404.64,0.9821,41.02,379.16,0.9821,38.45,404.64,0.9821,41.02,379.16,0.9821,38.45,379.16,0.9821,38.45,379.16,0.9821,38.45,379.16,0.9821,38.45,379.16,0.9821,38.45,379.16,0.9821,38.45,404.64,0.9821,41.02
43,405.59,0.9823,41.34,380.58,0.9817,38.6,405.59,0.9823,41.34,380.58,0.9817,38.6,380.58,0.9817,38.6,380.58,0.9817,38.6,380.58,0.9817,38.6,380.58,0.9817,38.6,380.58,0.9817,38.6,405.59,0.9823,41.34
44,404.7,0.9821,40.99,383.95,0.9819,38.79,404.7,0.9821,40.99,383.95,0.9819,38.79,383.95,0.9819,38.79,383.95,0.9819,38.79,383.95,0.9819,38.79,383.95,0.9819,38.79,383.95,0.9819,38.79,404.7,0.9821,40.99
45,402.21,0.9825,40.83,382.55,0.9825,38.95,402.21,0.9825,40.83,382.55,0.9825,38.95,382.55,0.9825,38.95,382.55,0.9825,38.95,382.55,0.9825,38.95,382.55,0.9825,38.95,382.55,0.9825,38.95,402.21,0.9825,40.83
46,400.98,0.9823,40.76,381.26,0.9822,38.73,400.98,0.9823,40.76,381.26,0.9822,38.73,381.26,0.9822,38.73,381.26,0.9822,38.73,381.26,0.9822,38.73,381.26,0.9822,38.73,381.26,0.9822,38.73,400.98,0.9823,40.76
